ScheduleKey,TeamId,PTS,Q1,Q2,Q3,Q4,OT1,OT2,OT3,OT4,F2GM,F2GA,F3GM,F3GA,FTM,FTA,OR,DR,TR,AS,TO,ST,PtsBiggestLead,PtsInPaint,PtsFastBreak,PtsSecondChance,PtsFromTurnover,BiggestScoringRun,LeadChanges,TimesTied
427,703,80,15,24,16,25,0,0,0,0,25,59,3,10,21,26,17,31,48,13,6,1,14,42,4,10,2,11-0(73-60),0,4
427,706,66,18,13,22,13,0,0,0,0,23,43,4,23,8,11,8,27,35,11,6,4,5,36,4,5,2,8-0(39-39),0,4
231,727,92,25,21,19,27,0,0,0,0,24,53,9,27,17,22,21,23,44,14,9,5,2,42,0,15,5,11-0(80-92),4,3
231,706,106,27,30,25,24,0,0,0,0,30,44,11,25,13,14,6,28,34,14,7,8,23,42,6,6,13,7-0(25-32),4,3
176,697,96,22,18,24,22,10,0,0,0,30,60,9,22,9,19,14,37,51,18,10,5,3,48,0,12,2,8-0(14-14),0,1
176,706,101,24,23,21,18,15,0,0,0,34,66,6,17,15,28,12,35,47,14,6,9,11,60,6,17,10,9-0(27-38),0,1
258,692,80,15,19,19,27,0,0,0,0,25,47,6,25,12,16,9,27,36,14,9,4,0,36,8,6,7,9-0(47-60),0,3
258,706,91,23,23,16,29,0,0,0,0,28,57,6,21,17,18,16,34,50,15,12,6,22,42,6,17,4,12-0(56-74),0,3
400,726,64,17,17,12,18,0,0,0,0,20,42,3,13,15,18,8,26,34,7,11,6,10,30,4,8,14,12-0(34-24),0,0
400,706,66,10,16,19,21,0,0,0,0,13,32,9,28,13,16,13,25,38,11,13,4,3,24,0,10,5,12-0(19-22),0,0
391,726,63,3,20,20,20,0,0,0,0,16,53,7,16,10,12,13,25,38,10,12,5,1,26,4,8,2,8-0(63-95),2,0
391,706,95,27,18,22,28,0,0,0,0,23,41,13,28,10,10,7,34,41,22,6,6,40,30,6,4,9,25-0(3-27),2,0
328,696,66,17,16,13,20,0,0,0,0,23,46,5,22,5,8,13,30,43,19,14,1,2,30,6,10,3,7-0(55-62),0,3
328,706,82,19,19,22,22,0,0,0,0,27,52,6,20,10,12,10,29,39,16,5,9,19,42,13,8,13,8-0(21-31),0,3
354,698,83,24,12,22,25,0,0,0,0,22,51,10,28,9,11,11,31,42,15,9,8,5,24,2,4,11,16-0(83-81),4,1
354,706,84,25,19,22,18,0,0,0,0,19,53,11,22,13,14,14,35,49,13,10,7,14,32,2,8,8,12-0(31-42),4,1
182,697,78,23,12,14,29,0,0,0,0,22,36,9,24,7,11,10,27,37,13,19,4,12,38,10,8,12,11-0(60-73),0,1
182,706,94,19,26,28,21,0,0,0,0,26,44,9,26,15,21,10,22,32,13,7,12,28,44,8,7,17,13-0(41-60),0,1
362,698,87,28,17,12,30,0,0,0,0,17,35,15,33,8,11,10,24,34,18,8,4,11,22,2,6,10,8-0(72-74),2,3
362,706,85,23,15,23,24,0,0,0,0,28,48,5,21,14,16,12,27,39,13,9,4,10,44,2,13,4,9-0(55-55),2,3
145,692,70,11,20,16,23,0,0,0,0,22,54,7,23,5,10,20,26,46,14,15,3,0,34,4,14,8,7-0(20-26),0,0
145,706,100,21,21,22,36,0,0,0,0,25,51,10,24,20,26,17,30,47,18,7,5,32,36,6,18,11,9-0(56-81),0,0
534,693,52,10,9,12,21,0,0,0,0,12,37,6,24,10,16,7,27,34,8,9,4,5,16,7,3,10,7-0(17-19),5,0
534,706,78,17,14,27,20,0,0,0,0,21,41,7,22,15,17,8,37,45,16,9,7,29,30,2,4,5,12-0(31-58),5,0
75,703,96,29,18,20,29,0,0,0,0,27,54,9,16,15,21,10,31,41,19,7,8,26,32,4,8,11,13-0(45-21),4,1
75,706,76,15,19,24,18,0,0,0,0,21,46,5,24,19,27,13,26,39,10,9,2,1,40,2,12,2,11-0(47-34),4,1
486,702,61,13,19,10,19,0,0,0,0,18,43,5,12,10,13,10,26,36,12,19,4,0,28,4,2,6,7-0(57-81),0,2
486,706,83,21,18,27,17,0,0,0,0,24,38,9,26,8,10,6,22,28,14,8,13,31,44,6,9,12,10-0(34-49),0,2
526,693,80,20,23,17,20,0,0,0,0,20,37,9,19,13,17,6,26,32,16,17,6,10,32,0,6,5,9-0(17-14),1,3
526,706,83,17,27,16,23,0,0,0,0,25,48,6,20,15,17,11,22,33,9,10,8,6,38,10,8,14,7-0(43-46),1,3
