ScheduleKey,TeamId,PTS,Q1,Q2,Q3,Q4,OT1,OT2,OT3,OT4,F2GM,F2GA,F3GM,F3GA,FTM,FTA,OR,DR,TR,AS,TO,ST,BS,F,PtsBiggestLead,PtsInPaint,PtsFastBreak,PtsSecondChance,PtsFromTurnover,BiggestScoringRun,LeadChanges,TimesTied
7542,693,73,13,18,18,24,0,0,0,0,18,45,8,17,13,13,13,15,28,23,19,4,1,21,3,28,7,7,25,8-0(27-32),1,0
7542,706,88,21,16,17,34,0,0,0,0,22,35,10,20,14,18,7,23,30,26,15,7,4,16,21,32,14,11,28,11-0(52-68),1,0
7490,704,65,14,7,23,21,0,0,0,0,15,37,6,24,17,29,12,31,43,12,14,8,3,23,7,22,9,11,17,7-0(7-0),0,0
7490,706,72,10,19,25,18,0,0,0,0,18,41,6,26,18,23,12,35,47,18,10,8,3,23,15,28,7,10,12,13-0(16-25),0,0
7441,701,82,18,22,13,29,0,0,0,0,25,46,6,15,14,20,11,24,35,13,12,9,5,20,12,38,7,15,13,10-0(79-67),0,0
7441,706,75,12,22,27,14,0,0,0,0,19,42,7,19,16,18,12,20,32,16,11,9,0,19,9,26,5,11,16,9-0(42-50),0,0
7569,720,61,21,13,20,7,0,0,0,0,16,41,7,26,8,10,10,26,36,13,10,8,2,19,13,30,14,13,8,7-0(12-2),0,0
7569,706,64,13,20,17,14,0,0,0,0,24,52,1,12,13,15,12,34,46,13,14,3,1,15,3,24,4,18,6,8-0(28-26),0,0
7568,720,79,20,16,21,22,0,0,0,0,20,38,9,31,12,14,12,30,42,15,6,4,2,20,17,38,18,12,16,10-0(49-35),0,1
7568,706,66,12,19,14,21,0,0,0,0,25,57,2,16,10,13,16,27,43,14,7,3,1,18,0,30,8,17,8,7-0(30-25),0,1
7491,704,88,36,21,16,15,0,0,0,0,22,40,11,25,11,15,12,21,33,20,11,7,0,20,22,38,10,4,16,11-0(36-17),3,1
7491,706,71,17,27,14,13,0,0,0,0,21,40,4,16,17,20,9,20,29,20,14,9,1,15,2,32,10,10,12,6-0(73-58),3,1
7440,701,63,14,10,21,18,0,0,0,0,17,44,5,14,14,16,12,33,45,13,16,4,1,17,5,30,2,13,13,14-0(59-54),0,0
7440,706,62,21,15,18,8,0,0,0,0,18,43,6,19,8,12,7,26,33,17,11,4,4,18,15,16,4,7,10,9-0(32-47),0,0
7598,693,69,19,16,17,17,0,0,0,0,16,37,11,25,4,8,7,30,37,14,12,8,0,19,23,26,13,9,13,12-0(31-14),0,2
7598,706,60,10,9,18,23,0,0,0,0,21,52,3,14,9,11,10,30,40,15,10,8,0,17,0,32,9,8,12,15-0(64-59),0,2
